"color","group","name","model","category","crystal symmetry","image caption","cleavage","crystal system","optical properties","strunz classification","unit cell","formula","streak","diaphaneity","mohs scale hardness","luster","image filename","refractive index","crystal habit","specific gravity"
"Bluish gray to lead-gray","Other","Clausthalite","Mineral","Selenide",,"","{001} Perfect, {010} Perfect, {100} Perfect","Isometric - hexoctahedralh (4/m 3 2/m)",,"02.CD.10",,"PbSe","grayish black","opaque","2.5","Metallic","240px-Clausthalite-207330.jpg",,"Massive to granular with euhedral crystals","7.6 - 8.8"
,"Arsenates","Clinoclase","Mineral","Arsenate",,"A sample of clinoclase",,,,"08.BE.20",,"Cu<sub>3</sub>AsO<sub>4</sub>(OH)<sub>3</sub>",,,,,"240px-Mineraly.sk_-_klinoklas.jpg",,,
"Colorless to brown surface coating, clear to pale pink to amethystine crystals","Silicates","Clinodehrite","Mineral","Silicate","Monoclinic point group m","Clinohedrite coating hardystonite, franklinite with willemite reaction rims. Franklin, New Jersey. Orange fluorescence under UV.","Perfect on {010}",,"Biaxial (-)","9.AE.30","a = 5.09 \u00c5, b = 15.82 \u00c5, c = 5.38 \u00c5; \u03b2 = 103.39\u00b0; Z = 4","CaZn(SiO)<sub>4</sub>\u00b7H<sub>2</sub>O","white",,"5.5","Brilliant, glassy; pearly on {010}","240px-Clinohedrite1.jpg","n\u03b1 = 1.662 n\u03b2 = 1.667 n\u03b3 = 1.669","Thin to thick or platey surface and fracture coatings, in vugs or cavities, rarely as crusts of crystals - prismatic to tabular, may be wedge-shaped","3.28 - 3.33"
"Brownish to orange, yellow, red","Silicates","Clinohumite","Mineral","Nesosilicate","Monoclinic prismaticH-M symbol: (2/m)Space group: P 21/c","Side View of a cushion cut clinohumite gemstone, 21.34 carats (4.268\u00a0g), 17.8 x 16 mm","Poor on {100}","Monoclinic","biaxial (+)",,"a = 13.71 \u00c5, b = 4.75 \u00c5, c = 10.29 \u00c5; \u03b2 = 100.83\u00b0; Z=2","(Mg,Fe)<sub>9</sub>(SiO<sub>4</sub>)<sub>4</sub>(F,OH)<sub>2</sub>","White","Transparent to translucent","6","Vitreous to resinous","240px-Clinohumite.jpg","n\u03b1 = 1.623 - 1.702 n\u03b2 = 1.636 - 1.709 n\u03b3 = 1.651 - 1.728","Granular, prismatic, twinned","3.17-3.35"
,"Silicates","Clinoptilolite","Mineral","TectosilicatesZeolites",,"Clinoptilolite-Na",,"Monoclinic",,"09.GE.05",,"(Na,K,Ca)<sub>2</sub>-<sub>3</sub>Al<sub>3</sub>(Al,Si)<sub>2</sub>Si<sub>13</sub>O<sub>36</sub>\u00b7<sub>12</sub>H<sub>2</sub>O",,,"3\u00bd - 4","Vitreous","240px-Clinoptilolite-Na-269082.jpg",,,
"Colorless, green, gray, light green, yellow green","Silicates","Clinozoisite","Mineral","SorosilicatesEpidote group","Monoclinic prismaticH-M symbol: (2/m)Space group: P 21/m","Clinozoisite","Perfect on {001}","Monoclinic","Biaxial (+)","09.BG.05a","a = 8.879 \u00c5, b = 5.583 \u00c5, c = 10.155 \u00c5; \u03b2 = 115.50\u00b0; Z=2","Ca<sub>2</sub>Al<sub>3</sub>(Si<sub>2</sub>O<sub>7</sub>)(SiO<sub>4</sub>)O(OH)","Grayish white","Transparent to translucent","6-7","Vitreous","240px-Clinozoisite%2C_Amphibole_Group_-_Mount_Belvidere_Quarries%2C_Vermont%2C_USA.jpg","n\u03b1 = 1.706 - 1.724 n\u03b2 = 1.708 - 1.729 n\u03b3 = 1.712 - 1.735","Elongated primatic crystals, striated; granular to fibrous","3.3 - 3.4"
"Colorless, yellow, orange, red-brown, brown, green","Silicates","Clintonite","Mineral","Phyllosilicate Mica group","Monoclinic 2/m - prismatic","Clintonite with spinel on orthoclase matrix from Amity, New York (size: 9.3 x 5.7 x 3.8 cm)","Perfect on {001}","Monoclinic","Biaxial (-)",,"a = 5.204\u00c5, b = 9.026\u00c5, c = 9.812\u00c5; \u03b2 = 100.35\u00b0; Z = 2","Ca(Mg,Al)<sub>3</sub>(Al<sub>3</sub>Si)O<sub>10</sub>(OH)<sub>2</sub>","White, slightly yellow-gray","Transparent to translucent","3.5 on {001}, 6 at angle to {001}","Vitreous, pearly, submetallic","240px-Clintonite-Spinel-235093.jpg","n\u03b1 = 1.643 - 1.648 n\u03b2 = 1.655 - 1.662 n\u03b3 = 1.655 - 1.663","Tabular pseudohexagonal crystals; foliated or lamellar radiated; massive","3.0 - 3.1"
"Reddish silver white, violet steel gray to black","Sulfides","Cobaltite","Mineral","Sulfide","Orthorhombic mm2","Cobaltite from Sweden","Perfect on {001}","Orthorhombic, pseudocubic.",,"02.EB.25","a = 5.582 \u00c5, b = 5.582 \u00c5, c = 5.582 \u00c5; Z = 4","CoAsS","Grayish-black","Opaque","5.5","Metallic","240px-Koboltglans.jpg",,"Granular to massive, rarely as striated crystals",
,"Halides","Coccinite","Mineral","Halide","Tetragonal ditetragonal dipyramidalH-M symbol: (4/m 2/m 2/m)Space group: P 41/nmc","Coccinite, from Backofen Mine, Rhineland-Palatinate, Germany","Good on {001}","Tetragonal","Uniaxial (-)","3.AB.10","a = 4.376 \u00c5, c = 12.41 \u00c5, Z = 1","HgI<sub>2</sub>","Orange","Translucent","2",,"240px-Coccinite.jpg","2.684 (avg)",,"3.17 (calculated)"
"Colorless","Silicates","Coesite","Mineral","Tectosilicate","Monoclinic, point group 2/m, space group: C2/c","Crossed-polars image of coesite grain (gray) ~1\u00a0mm across in eclogite. Small colored inclusion is pyroxene. Polycrystalline rim is quartz.","none","monoclinic","Biaxial","04.DA.35","a = 7.143; b = 12.383; c = 7.143; \u03b2 = 120.00\u00b0, Z = 16","<sub>60</sub>.<sub>0843</sub>","white","Transparent","7.5","vitreous","240px-Coesiteimage.jpg","nx = 1.594ny = 1.595nz = 1.599","Inclusions in UHP metamorphic minerals up to 3 mm in size",
"Black (from organic inclusions; pale to dark brown in thin section","Silicates","Coffinite","Mineral","Nesosilicate","Tetragonal 4/m 2/m 2/m ditetragonal dipyramidal","Pitchblende and coffinite in a sample from a Czech mine",,"Tetragonal","Uniaxial (+/-)","09.AD.30","a = 6.97 \u00c5, c = 6.25 \u00c5; Z = 3","U(SiO<sub>4</sub>)<sub>1</sub>-x(OH)<sub>4</sub>x","Grayish black","Opaque, transparent on thin edges","5-6","Dull to adamantine","240px-Blenda_smolista_%2B_coffinit.jpg","n\u03b1 = 1.730 - 1.750 n\u03b2 = 1.730 - 1.750","Rarely as crystals, commonly as colloform to botryoidal incrustations, fibrous, pulverulent masses","5.1"
"Colorless, white, yellowish, grey","Borates","Colemanite","Mineral","Inoborates","Monoclinic 2/m",""," perfect,  distinct","Monoclinic - Prismatic","Biaxial (+)","06.CB.10","a = 8.712(2) \u00c5, b = 11.247(3) \u00c5, c = 6.091(1) \u00c5; \u03b2 = 110.12\u00b0; Z = 4","CaB<sub>3</sub>O<sub>4</sub>(OH)<sub>3</sub>\u00b7H<sub>2</sub>O","White","Transparent to translucent","4.5","Vitreous","240px-ColemaniteUSGOV.jpg","n\u03b1 = 1.586 n\u03b2 = 1.592 n\u03b3 = 1.614","Massive granular to coarsely crystalline, most commonly nodular.","2.42"
,"Phosphates","Collinsite","Mineral","Phosphate","PinacoidalH-M group: 1Space group: P1","Crystals of collinsite from the Rapid Creek area of northern Yukon, Canada","Fair on {001} and {010}","Triclinic","Biaxial (+)","08.CG.05","a = 5.734(1)\u00a0\u00c5b = 6.780(1)\u00a0\u00c5c = 5.441(1)\u00a0\u00c5\u03b1 = 97.29\u00b0\u03b2 = 108.56\u00b0\u03b3 = 107.28\u00b0Z = 1","Ca<sub>2</sub>(Mg,Fe<sub>2</sub>+)(PO<sub>4</sub>)<sub>2</sub>\u00b7<sub>2</sub>H<sub>2</sub>O","White","Translucent","3 to 3.5","Subvitreous, silky if \ufb01brous","240px-Collinsite_-_Rapid_Creek.jpg","n\u03b1 = 1.632n\u03b2 = 1.642n\u03b3 = 1.657",,"2.99"
"Iron-black inclining to gray","Other","Coloradoite","Mineral","Telluride","Isometric hextetrahedralH\u2013M Symbol: (43m)Space group: F43m","Coloradoite from the La Plata District of Colorado",,"Cubic",,"02.CB.05a","a = 6.453 \u00c5; Z = 4","HgTe","Black","Opaque","2.5","Bright metallic","240px-Coloradoite%2C_Pyrite%2C_Quartz-338840.jpg",,"Massive, granular","8.10"
"Black, brownish black.","Oxides","Columbite-(Fe)","Mineral","Oxide",,""," Distinct","Orthorhombic, (2/m 2/m 2/m), SpaceGroup = Pcan","Biaxial (+), b=2.29\u20132.4","04.DB.35",,"Fe<sub>2</sub>+Nb<sub>2</sub>O<sub>6</sub>","blackish brown",,"6","sub-metallic","240px-Columbite.jpg",,"Massive - Granular - Common texture observed in granite and other igneous rock; Striated - Parallel lines on crystal surface or cleavage face.","5.3\u20137.3, Average = 6.3"
"Grass-green to yellowish green, pistachio-green, emerald-green; may be zoned","Arsenates","Conichalcite","Mineral","Arsenate","Orthorhombic (2 2 2) - disphenoidal","A thin crust of conichalcite on a rock.","Absent","Orthorhombic","Biaxial (+/-)","08.BH.35","a = 7.39(1) \u00c5, b = 9.23(1) \u00c5, c = 5.83(1) \u00c5; V 397.66 \u00c5\u00b3; Z = 4","CaCu(AsO<sub>4</sub>)(OH)","Green","Translucent","4.5","Vitreous, greasy","240px-Conichalcite.jpg","n\u03b1 = 1.778 - 1.800 n\u03b2 = 1.795 - 1.831 n\u03b3 = 1.801 - 1.846","Crusts of acicular to almost fibrous crystals. Also as botryoidal masses and compact crusts.","4.3"
"Azure blue, blue green","Halides","Connellite","Mineral","Halide","Hexagonal ditrigonal dipyramidalH-M symbol: (6 m2)Space group: P 62c","Connellite","None","hexagonal","Uniaxial (+)","03.DA.25","a = 15.78 \u00c5, c = 9.10 \u00c5; Z=2","Cu<sub>19</sub>(OH)<sub>32</sub>(SO<sub>4</sub>)Cl<sub>4</sub>\u00b7<sub>3</sub>H<sub>2</sub>O","Pale green-blue","Translucent","3","Vitreous","240px-Connellite-54486.jpg","n\u03c9 = 1.724 - 1.746 n\u03b5 = 1.738 - 1.758","Clusters of divergent acicular crystals, fibrous, crusts","3.36 to 3.41"
"Sulfur-yellow to orange when crystalline, greenish-yellow to olive-green when massive","Sulfates","Copiapite","Mineral","Sulfate","Triclinic 1","Copiapite from the Boles\u0142aw Mine, K\u0142odzko District, Lower Silesia, Poland","Perfect on {010}, imperfect on {101}","Triclinic Pinacoidal","Biaxial (+)","07.DB.35","a = 7.337 \u00c5, b = 18.76 \u00c5, c = 7.379 \u00c5; \u03b1 = 91.47\u00b0, \u03b2 = 102.18\u00b0, \u03b3 = 98.95\u00b0; Z = 4","Fe<sub>2</sub>+Fe<sub>3</sub>+<sub>4</sub>(SO<sub>4</sub>)<sub>6</sub>(OH)<sub>2</sub>\u00b7<sub>20</sub>(H<sub>2</sub>O)",,"Transparent to translucent","2.5 - 3","Pearly on {010}","240px-Copiapite-159310.jpg","n\u03b1 = 1.506 - 1.540 n\u03b2 = 1.528 - 1.549 n\u03b3 = 1.575 - 1.600","Tabular pseudo-orthorhombic platy crystals, typically in scaly incrustations or granular pulverulent aggregates","2.04\u20132.17"
"Pale rose on fresh surface, quickly darkens to copper-red; in reflected light, pale rose","Native Elements","Copper","Mineral","Native metal","Isometric 4/m 3 2/m","Native copper from Ray mine, Arizona (specimen 5.25 x 4 x 1 cm)","None","cubic Hexoctahedral",,"01.AA.05","a = 3.615 \u00c5 = 4","Cu","Copper-red","Opaque","2\u00bd\u20133","Metallic","240px-Copper-21991.jpg",,"As cubes, dodecahedra, and as tetrahexahedra; rarely as octahedra and complex combinations. Commonly flattened on {111}, elongated along . Also as irregular distortions, in twisted, wirelike shapes; filiform, arborescent, massive","8.95"
"Pale orange-pink to salmon-pink; on exposure to light, rapidly darkening to pale gray, then black","Halides","Corderoite","Mineral","Halide","Isometric 2/m3","Dark red bands of cinnabar alternate with layers of tan limonite. The corderoite are the yellow-tan microcrystals.",,"Cubic - Diploidal","Isotropic","02.FC.15a","a = 8.940(5) \u00c5, Z=4","Hg<sub>3</sub>S<sub>2</sub>Cl<sub>2</sub>",,"Transparent","3",,"240px-Corderoite-Cinnabar-226331.jpg","n > 2.5","Rare as cubic crystals; as rims and replacements of cinnabar","6.845 calc."
"Blue, smoky blue, bluish violet; greenish, yellowish brown, gray; colorless to very pale blue in thin section","Silicates","Cordierite","Mineral","Silicate","2/m 2/m 2/m Orthorhombic - Dipyramidal","Cordierite from Italy","Fair on {100}, poor on {001} and {010}","Orthorhombic - Dipyramidal Space Group: C ccm","Usually optically (-), sometimes (+); 2V = 0-90\u00b0","09.CJ.10","a = 17.079\u00a0\u00c5, b = 9.730\u00a0\u00c5, c = 9.356\u00a0\u00c5; Z = 4","(Mg,Fe)<sub>2</sub>Al<sub>4</sub>Si<sub>5</sub>O<sub>18</sub>","White",,"7 - 7.5","Greasy or vitreous","240px-Cordierite_Italie.jpg","n\u03b1 = 1.527 - 1.560 n\u03b2 = 1.532 - 1.574 n\u03b3 = 1.538 - 1.578 Indices increase with Fe content.","Pseudo-hexagonal prismatic twins, as imbedded grains, and massive","2.57 - 2.66"
"Light or dark green","Arsenates","Cornubite","Mineral","Arsenate",,"Cornubite from Majuba Hill, Nevada, USA. Specimen size 5 cm","Distinct in two directions","Triclinic 1","Biaxial (-)","08.BD.30",,"Cu<sub>5</sub>(AsO<sub>4</sub>)<sub>2</sub>(OH)<sub>4</sub>","Light green","Translucent to transparent","4","Vitreous","240px-Cornubite.jpg","N\u03b1 = 1.87, N\u03b2 not determined, N\u03b3 = 1.90","Fibrous, botryoidal, globular or massive, also rare tabular crystals","4.64"
"Verdigis green, blackish-green, emerald-green","Arsenates","Cornwallite","Mineral","Arsenate","Monoclinic prismaticH-M symbol: 2/mSpace group: P21/a","Cornwallite in a vug from Pastrana, Murcia, Spain (size: 4.3 x 3.7 x 2.2 cm)","Distinct in one direction","Monoclinic","Biaxial (+/-)","8.BD.05","a = 17.33 \u00c5, b = 5.82 \u00c5, c = 4.60 \u00c5; \u03b2 = 92.22\u00b0; Z=2","Cu<sub>5</sub>(AsO<sub>4</sub>)<sub>2</sub>(OH)<sub>4</sub>","Apple green","Translucent to opaque","4.5","Sub-vitreous, resinous, waxy","240px-Cornwallite-178955.jpg","n\u03b1 = 1.810 - 1.820 n\u03b2 = 1.815 - 1.860 n\u03b3 = 1.850 - 1.880","Microcrystalline radial fibrous, botryoidal to globular crusts","4.17"
"Colorless, gray, brown; pink to red, orange, yellow, green, blue, violet; may be color zoned, asteriated mainly grey and brown","Oxides","Corundum","Mineral","Oxide \u2013 Hematite group","Trigonal (32/m)","","None \u2013 parting in 3 directions","Trigonal (Hexagonal Scalenohedral)Symbol (32/m)Space group: R3c","Uniaxial (\u2013)","04.CB.05","a = 4.75 \u00c5, c = 12.982 \u00c5; Z=6","Aluminium oxide, Al<sub>2</sub>O<sub>3</sub>","White","Transparent, translucent to opaque","9 (defining mineral)","Adamantine to vitreous","240px-Several_corundum_crystals.jpg","n\u03c9 = 1.767\u20131.772n\u03b5 = 1.759\u20131.763","Steep bipyramidal, tabular, prismatic, rhombohedral crystals, massive or granular","3.95\u20134.10"
"Colorless to white, pale green, pale yellow","Halides","Cotunnite","Mineral","Halide","Orthorhombic (2/m 2/m 2/m) dipyramidal","Cotunnite","Perfect on {010}","Orthorhombic","Biaxial (+)","03.DC.85","a = 7.6222(5) \u00c5, b = 9.0448(7) \u00c5, c = 4.5348(4) \u00c5; Z = 4","PbCl<sub>2</sub>",,"Transparent to opaque","2.5","Adamantine, silky to pearly","240px-Cotunnite_nymonh.jpg","n\u03b1 = 2.199 n\u03b2 = 2.217 n\u03b3 = 2.260","As elongated, flattened prismatic crystals; in aggregates of radiating sprays; granular, crustiform or pseudomorphs","5.80"
"Indigo-blue or darker, commonly highly iridescent, brass-yellow to deep red","Sulfides","Covellite","Mineral","Sulfide","Hexagonal dihexagonal dipyramidal H\u2013M Symbol (6/m 2/m 2/m) Space group: P 63/mmc","Covellite from the Leonard Mine, Butte, Montana","Perfect on {0001}","Hexagonal","Uniaxial (+)","02.CA.05a","a = 3.7938 \u00c5, c = 16.341 \u00c5; Z = 6","copper sulfide:CuS","Lead gray","Opaque","1.5 - 2","Submetallic, inclining to resinous to dull","240px-Covellite-USA.jpg","n\u03c9 = 1.450 n\u03b5 = 2.620","Thin platy hexagonal crystals and rosettes also massive to granular.","4.6 - 4.8"
"Colorless, white, violet, orange","Sulfates","Creedite","Mineral","Sulfate and halide","Monoclinic 2/m","Creedite, Santa Eulalia District, Municipio de Aquiles Serd\u00e1n, Chihuahua, Mexico","Perfect on {100}","Monoclinic","Biaxial (-)","03.CG.15","a = 13.91 \u00c5, b = 8.58 \u00c5, c = 10 \u00c5; \u03b2 = 94.4\u00b0; Z = 4","Ca<sub>3</sub>Al<sub>2</sub>(SO<sub>4</sub>)(F,OH)<sub>10</sub>\u2022<sub>2</sub>(H<sub>2</sub>O)","White","Transparent to translucent","3.5 - 4","Vitreous","240px-Creedite_3_photo_fond.jpg","n\u03b1 = 1.461 n\u03b2 = 1.478 n\u03b3 = 1.485","Generally appears as anhedral to subhedral in matrix; bladelike prismatic and radial, drusy to granular aggregates","2.71"
"Colorless, white","Silicates","Cristobalite","Mineral","Silicate","Tetragonal (\u03b1) space group P41212, cubic (\u03b2) Fd3m","Cristobalite spheres formed via devitrification from the obsidian matrix (California, USA) 5.9\u00d73.8\u00d73.8 cm.",,,"Uniaxial (-)","04.DA.15","a = 4.9709(1) A, c = 6.9278(2) A, Z = 4 (\u03b1);a = 7.166 A, Z = 8 (\u03b2)","SiO<sub>2</sub>","White","Transparent","6\u20137","Vitreous","240px-Cristobalite-Fayalite-40048.jpg","n\u03c9 = 1.487n\u03b5 = 1.484","Octahedra or spherulites up to several cm large","2.32\u20132.36"
"Orange, red, yellow","Other","Crocoite","Mineral","Chromate","Monoclinic prismatic (2/m)","Crocoite from Dundas, Tasmania.","Distinct on {110} indistinct on {001} and {100}","Monoclinic","Biaxial (+)","07.FA.20","a = 7.12 \u00c5, b = 7.421 \u00c5, c = 6.8 \u00c5; \u03b2 = 102.41\u00b0; Z = 4","Lead Chromate PbCrO<sub>4</sub>","Yellowish orange","Transparent to translucent","2.5\u20133","Adamantine","240px-Crocoite_from_the_Dundas_extended_mine%2C_Dundas%2C_Tasmania%2C_Australia.jpg","n\u03b1 = 2.290(2) n\u03b2 = 2.360(2) n\u03b3 = 2.660(2)","Coarsely crystalline to acicular","5.9\u20136.1"
"Black, dark brown-black, green-black","Silicates","Cronstedtite","Mineral","Silicate","Trigonal 3m ditrigonal pyramidal","Cronstedtite - Salsigne Mine - France","Perfect on {001}","Trigonal","Biaxial (-)","09.ED.15","a = 5.486 \u00c5, c = 7.095 \u00c5; Z = 1","Fe<sub>2</sub>+<sub>2</sub>Fe<sub>3</sub>+(Si,Fe<sub>3</sub>+O<sub>5</sub>)(OH)<sub>4</sub>","Dark olive green","Translucent",,"Sub-Metallic","240px-Cronstedite_France.jpg","n\u03b1 = 1.720 n\u03b2 = 1.800 n\u03b3 = 1.800",,"3.34 - 3.35"
"blue, blue-green","Silicates","Crossite","Mineral","Amphibole - Inosilicates",,"Crossite from California",,,,,,"Na<sub>2</sub>(Mg,Fe)<sub>3</sub>(Al,Fe)<sub>2</sub>Si<sub>8</sub>O<sub>22</sub>(OH)<sub>2</sub>","light blue",,"6",,"240px-Crossite_with_natrolite_Complex_Silicate_near_the_Dallas_Gem_Mine%2C_San_Benito_County%2C_California_2397.jpg",,,
"Colorless to white, also brownish, reddish and rarely black","Halides","Cryolite","Mineral","Halide","Monoclinic 2/m","Cryolite from Ivigtut Greenland","None observed","Monoclinic 2/m","Biaxial (+)","03.CB.15","a = 7.7564(3) \u00c5, b = 5.5959(2) \u00c5, c = 5.4024(2) \u00c5; \u03b2 = 90.18\u00b0; Z = 2","<sub>209</sub>.<sub>9</sub> g mol\u2212<sub>1</sub>","White","Transparent to translucent","2.5 to 3","Vitreous to greasy, pearly on {001}","240px-816-_Ivigtut_-_cryolite.jpg","n\u03b1 = 1.3385\u20131.339, n\u03b2 = 1.3389\u20131.339, n\u03b3 = 1.3396\u20131.34","Usually massive, coarsely granular. The rare crystals are equant and pseudocubic","2.95 to 3.0."
"Steel-gray to bluish gray; light tan or gray in re\ufb02ected light","Oxides","Cryptomelane","Mineral","Oxide","Monoclinic prismaticH-M symbol: (2/m)Space group: I2/m","",,"Monoclinic",,"04.DK.10","a = 9.956 \u00c5, b = 2.8705 \u00c5, c = 9.706 \u00c5; \u03b2 = 90.95\u00b0; Z=1","K(Mn<sub>4</sub>+,Mn<sub>2</sub>+)<sub>8</sub>O<sub>16</sub>","Brownish black","Opaque","6 \u2013 6.5","Metallic to dull","240px-Kryptomelan2%2C_Maroko.jpg",,"Rare as subhedral crystals, commonly as compact \ufb01ne-grained masses, banded colloform, botryoidal, or radial \ufb01brous aggregates","4.17 \u2013 4.41"
"Bronze to brass-yellow","Sulfides","Cubanite","Mineral","Sulfide","Orthorhombic (2/m 2/m 2/m) - dipyramidal","Striated, cyclically-twinned cubanite crystals from the Chibougamau mines of Quebec. (size: 1.5 x 1.3 x 1.0 cm)","Parting on {110} and {130}","Orthorhombic","Distinctly anisotropic on polished surface","02.CB.55a","a = 6.467(1) \u00c5, b = 11.117(1) \u00c5, c = 6.231(2) \u00c5; Z = 4","CuFe<sub>2</sub>S<sub>3</sub>","Black","Opaque","3.5-4","Metallic","240px-Cubanite-47299.jpg",,"Crystals elongated to thick tabular, striated also massive","4.0-4.2"
"Dark green, brown, gray, beige; colorless to pale green in thin section","Silicates","Cummingtonite","Mineral","Inosilicate","Monoclinic 2/m","","Good on {110} intersecting at 54 and 126\u00b0","Monoclinic","Biaxial (+)","09.DE.05","a = 9.53 \u00c5, b = 18.23 \u00c5, c = 5.32 \u00c5; \u03b2 = 101.97\u00b0; Z = 2","(Mg,Fe<sub>2</sub>+)<sub>2</sub>(Mg,Fe<sub>2</sub>+)<sub>5</sub>Si<sub>8</sub>O<sub>22</sub>(OH)<sub>2</sub>",,"Translucent, will transmit light on thin edges.","5\u20136","Vitreous to silky","240px-Amphibole_-_Cummingtonite_w-_chlorite_in_schist_Magnesium_iron_silicate_3800_foot_level_Homestake_Mine_Lawrence_COunty_South_Dakota_2071.jpg","n\u03b1 = 1.639\u20131.671n\u03b2 = 1.647\u20131.689n\u03b3 = 1.664\u20131.708","Rarely as distinct crystals. Columnar to fibrous and granular","3.1\u20133.6"
"Dark red to conchineal red, sometimes almost black","Oxides","Cuprite","Mineral","Oxide","Cubic (4/m 3 2/m)","Cuprite from Morenci, Arizona","Fair in four directions forming octahedrons","Cubic hexoctahedral","Isotropic","04.AA.10","a = 4.2685 \u00c5; V 77.77 \u00c5\u00b3; Z = 2","Cu<sub>2</sub>O","Shining metallic brownish-red","Transparent, translucent","3.5 to 4","Adamantine, sub-metallic, earthy","240px-CupriteUSGOV.jpg","n = 2.849","Cubic, octahedral, and dodecahedral crystals; as hairlike capillary forms, earthy, compact granular and massive","6.14"
"Yellowish to grass-green","Other","Cuprosklodowskite","Mineral","Uranium","Triclinic pinacoidalH-M symbol: (1)Space group: P1","Cuprosklodowskite, Musonoi mine, Kolwezi, Lualaba District, Democratic Republic of the Congo {3.6 x 2.7 x 2.2 cm}","On {100}","Triclinic","Biaxial (-)","9.AK.10","a = 7.052(5) \u00c5, b = 9.267(8) \u00c5, c = 6.655(5) \u00c5; \u03b1 = 109.23\u00b0, \u03b2 = 89.84\u00b0, \u03b3 = 110.01\u00b0; Z=1","Cu(UO<sub>2</sub>)<sub>2</sub>(HSiO<sub>4</sub>)<sub>2</sub>\u00b7<sub>6</sub>(H<sub>2</sub>O)","Greenish yellow","Transparent to translucent","4","Dull to silky in aggregates","240px-Cuprosklodowskite-27211.jpg","n\u03b1 = 1.654 - 1.655 n\u03b2 = 1.664 - 1.667 n\u03b3 = 1.664 - 1.667","In radiating groups of acicular flattened or bladed needles or fibrous crusts","3.85"
"Yellow, reddish orange, brownish yellow.","Oxides","Curite","Mineral","Oxide","Orthorhombic (2/m 2/m 2/m) dipyramidal","Curite","{100}, imperfect","Orthorhombic","Biaxial (-)","04.GB.55",,"Pb<sub>3</sub>(UO<sub>2</sub>)<sub>8</sub>O<sub>8</sub>(OH)<sub>6</sub>\u00b7<sub>3</sub>(H<sub>2</sub>O)","Orange","Transparent","4-5","Adamantine","240px-Curite.jpg","n\u03b1 = 2.060 n\u03b2 = 2.110 n\u03b3 = 2.150","Massive, acicular, compact earthy.","6.98 - 7.4"
"Sky-blue, azure-blue","Sulfates","Cyanotrichite","Mineral","Sulfate",,"Radiating sprays of cyanotrichite needles on matrix from the old Grand Canyon Mine now within Grand Canyon National Park (size: 3.8 x 3.7 x 1.2 cm)",,"Orthorhombic","Biaxial (+)","07.DE.10","a = 10.16 \u00c5, b = 12.61 \u00c5, c = 2.9 \u00c5; Z=1","Cu<sub>4</sub>Al<sub>2</sub>[(OH)<sub>12</sub>|SO<sub>4</sub>]\u00b7<sub>2</sub>H<sub>2</sub>O","Light blue","Transparent to translucent","1-3","Silky","240px-Cyanotrichite-278444.jpg","n\u03b1 = 1.588 n\u03b2 = 1.617 n\u03b3 = 1.655","Acicular crystals and fibrous aggregates; incrustations","2.76"
,"Sulfosalts","Cylindrite","Mineral","Sulfosalt",,"Trinacria Mine, Callipampa, Poop\u00f3 Province, Oruro Department, Bolivia","Perfect on {100}","Triclinic",,"02.HF.25a",,"<sub>1</sub>,<sub>844</sub>.<sub>71</sub>","Black","Opaque","2\u00bd","Metallic","240px-Cylindrite-37943.jpg",,"Cylindrical","5.4 - 5.42"
"Bright yellow, honey-yellow, orange to brownish yellow, brown","Phosphates","Cyrilovite","Mineral","Phosphate",,"Cyrilovite","None","Tetragonal - Trapezohedral H-M Symbol (422) Space Group: P 412121,P 432121","Uniaxial (-)","08.DL.10",,"NaFe<sub>3</sub>+<sub>3</sub>(PO<sub>4</sub>)<sub>2</sub>(OH)<sub>4</sub>\u2022<sub>2</sub>(H<sub>2</sub>O)","Yellow","Translucent","4","Vitreous","240px-Cyrilovite-141091.jpg","n\u03c9 = 1.802 - 1.805 n\u03b5 = 1.769 - 1.775","Massive, granular, pseudo cubic, radiating to botryoidal aggregates and crusts","3.081\u20133.096"
"Yellow, pink, reddish brown, red: colorless to pink in thin section","Other","Danalite","Mineral","Sodalite - Feldspathoid",,"","{111} and {111}","Isometric - hextetrahedral (4 3m)","Isotropic","09.FB.10",,"Fe<sub>2</sub>+<sub>4</sub>Be<sub>3</sub>(SiO<sub>4</sub>)<sub>3</sub>S","Grey white","Semitransparent","5.5 to 6","Vitreous or greasy","240px-Danalite-202027.jpg","n = 1.747 - 1.771","Octahedral and dodecahedral crystals, typically massive or as segregations","3.28 - 3.46"
,"Silicates","Danburite","Mineral","Tectosilicates","Orthorhombic dipyramidalH-M symbol: (2/m 2/m 2/m)Space group: Pnam","Danburite 35\u00d728\u00d721\u00a0cm","{001} Poor","Orthorhombic","Biaxial (+/-)","9.FA.65","a = 8.038(3) \u00c5, b = 8.752(5) \u00c5, c = 7.73\u00c5; Z=4","CaB<sub>2</sub>(SiO<sub>4</sub>)<sub>2</sub>","White","Transparent to translucent","7 \u2013 7.5","Vitreous \u2013 greasy","240px-DanburiteMexique.jpg","n\u03b1 = 1.627 \u2013 1.633 n\u03b2 = 1.630 \u2013 1.636 n\u03b3 = 1.633 \u2013 1.639","Euhedral prismatic crystals; disseminated masses","2.93 - 3.02"
